Micro-catégorie,Forêt,Bosquet,Pré,Champ,Verger,Jardin,None
Jardin,,,,,,Jardin,
Place,,,,,,,Place
Atelier,,,,,,,Atelier
Cave soit terrasse dessus,,,,,,,Cave soit terrasse dessus
Latrines,,,,,,,Latrines
Magasin avec terrasse,,,,,,,Magasin avec terrasse
Cuisine (terrasse dessus),,,,,,,Cuisine (terrasse dessus)
"Cuisine, chambre à lessive, cave",,,,,,,"Cuisine, chambre à lessive, cave"
"Place 1/2 indéterminée d'une place indivise de 0.28.c en totalité, l'autre part est sous article 1756",,,,,,,"Place 1/2 indéterminée d'une place indivise de 0.28.c en totalité, l'autre part est sous article 1756"
Dépôt,,,,,,,Dépôt
Place (cour),,,,,,,Place (cour)
"1/2 indéterminée d'une place indivise de 0.32 en totalité, l'autre part est sous article 858",,,,,,,"1/2 indéterminée d'une place indivise de 0.32 en totalité, l'autre part est sous article 858"
Caveau (terrasse dessus),,,,,,,Caveau (terrasse dessus)
"Magasin, terrasse",,,,,,,"Magasin, terrasse"
Remise (jardin dessus),,,,,,Remise (jardin dessus),
"Réduit, cave voûtée (terrasse dessus)",,,,,,,"Réduit, cave voûtée (terrasse dessus)"
Logement,,,,,,,Logement
"Galerie, latrines",,,,,,,"Galerie, latrines"
Pré,,,Pré,,,,
Terrasse (place),,,,,,,Terrasse (place)
Chambre à lessive,,,,,,,Chambre à lessive
Chambre chaude,,,,,,,Chambre chaude
Bâtiment soit passage voûté,,,,,,,Bâtiment soit passage voûté
Cave (place dessus),,,,,,,Cave (place dessus)
Cave (jardin dessus),,,,,,Cave (jardin dessus),
Terrasse (jardin),,,,,,Terrasse (jardin),
Etable à porcs,,,,,,,Etable à porcs
Escalier de 0.14c,,,,,,,Escalier de 0.14c
Bois,Bois,,,,,,
"Magasin des graisses, réduit",,,,,,,"Magasin des graisses, réduit"
"Place 1/2 indéterminée d'une place indivise de0.24 en totalité, l'autre part portée sous article 512",,,,,,,"Place 1/2 indéterminée d'une place indivise de0.24 en totalité, l'autre part portée sous article 512"
Poulailler,,,,,,,Poulailler
"Terrasse, pré",,,"Terrasse, pré",,,,
